City,State,Rank,Population,lat,lon
New York,New York,1,8405837,40.7127837,-74.0059413
Los Angeles,California,2,3884307,34.0522342,-118.2436849
Chicago,Illinois,3,2718782,41.8781136,-87.6297982
Houston,Texas,4,2195914,29.7604267,-95.3698028
Philadelphia,Pennsylvania,5,1553165,39.9525839,-75.1652215
Phoenix,Arizona,6,1513367,33.4483771,-112.0740373
San Antonio,Texas,7,1409019,29.4241219,-98.4936282
San Diego,California,8,1355896,32.715738,-117.1610838
Dallas,Texas,9,1257676,32.7766642,-96.7969879
San Jose,California,10,998537,37.3382082,-121.8863286
Austin,Texas,11,885400,30.267153,-97.7430608
Indianapolis,Indiana,12,843393,39.768403,-86.158068
Jacksonville,Florida,13,842583,30.3321838,-81.655651
San Francisco,California,14,837442,37.7749295,-122.4194155
Columbus,Ohio,15,822553,39.9611755,-82.9987942
Charlotte,North Carolina,16,792862,35.2270869,-80.8431267
Fort Worth,Texas,17,792727,32.7554883,-97.3307658
Detroit,Michigan,18,688701,42.331427,-83.0457538
El Paso,Texas,19,674433,31.7775757,-106.4424559
Memphis,Tennessee,20,653450,35.1495343,-90.0489801
Seattle,Washington,21,652405,47.6062095,-122.3320708
Denver,Colorado,22,649495,39.7392358,-104.990251
Washington,District of Columbia,23,646449,38.9071923,-77.0368707
Boston,Massachusetts,24,645966,42.3600825,-71.0588801
Nashville,Tennessee,25,634464,36.1626638,-86.7816016
Baltimore,Maryland,26,622104,39.2903848,-76.6121893
Oklahoma City,Oklahoma,27,610613,35.4675602,-97.5164276
Louisville,Kentucky,28,609893,38.2526647,-85.7584557
Portland,Oregon,29,609456,45.5230622,-122.6764816
Las Vegas,Nevada,30,603488,36.1699412,-115.1398296
Milwaukee,Wisconsin,31,599164,43.0389025,-87.9064736
Albuquerque,New Mexico,32,556495,35.0853336,-106.6055534
Tucson,Arizona,33,526116,32.2217429,-110.926479
Fresno,California,34,509924,36.7468422,-119.7725868
Sacramento,California,35,479686,38.5815719,-121.4943996
Long Beach,California,36,469428,33.7700504,-118.1937395
Kansas City,Missouri,37,467007,39.0997265,-94.5785667
Mesa,Arizona,38,457587,33.4151843,-111.8314724
Virginia Beach,Virginia,39,448479,36.8529263,-75.977985
Atlanta,Georgia,40,447841,33.7489954,-84.3879824
Colorado Springs,Colorado,41,439886,38.8338816,-104.8213634
Omaha,Nebraska,42,434353,41.2523634,-95.9979883
Raleigh,North Carolina,43,431746,35.7795897,-78.6381787
Miami,Florida,44,417650,25.7616798,-80.1917902
Oakland,California,45,406253,37.8043637,-122.2711137
Minneapolis,Minnesota,46,400070,44.977753,-93.2650108
Tulsa,Oklahoma,47,398121,36.1539816,-95.992775
Cleveland,Ohio,48,390113,41.49932,-81.6943605
Wichita,Kansas,49,386552,37.688889,-97.336111
Arlington,Texas,50,379577,32.735687,-97.1080656
New Orleans,Louisiana,51,378715,29.9510658,-90.0715323
Bakersfield,California,52,363630,35.3732921,-119.0187125
Tampa,Florida,53,352957,27.950575,-82.4571776
Honolulu,Hawaii,54,347884,21.3069444,-157.8583333
Aurora,Colorado,55,345803,39.7294319,-104.8319195
Anaheim,California,56,345012,33.8352932,-117.9145036
Santa Ana,California,57,334227,33.7455731,-117.8678338
St. Louis,Missouri,58,318416,38.6270025,-90.1994042
Riverside,California,59,316619,33.9533487,-117.3961564
Corpus Christi,Texas,60,316381,27.8005828,-97.396381
Lexington-Fayette,Kentucky,61,308428,38.0405837,-84.5037164
Pittsburgh,Pennsylvania,62,305841,40.4406248,-79.9958864
Anchorage,Alaska,63,300950,61.2180556,-149.9002778
Stockton,California,64,298118,37.9577016,-121.2907796
Cincinnati,Ohio,65,297517,39.1031182,-84.5120196
St. Paul,Minnesota,66,294873,44.9537029,-93.0899578
Toledo,Ohio,67,282313,41.6639383,-83.555212
Greensboro,North Carolina,68,279639,36.0726354,-79.7919754
Newark,New Jersey,69,278427,40.735657,-74.1723667
Plano,Texas,70,274409,33.0198431,-96.6988856
Henderson,Nevada,71,270811,36.0395247,-114.9817213
Lincoln,Nebraska,72,268738,40.8257625,-96.6851982
Buffalo,New York,73,258959,42.8864468,-78.8783689
Jersey City,New Jersey,74,257342,40.7281575,-74.0776417
Chula Vista,California,75,256780,32.6400541,-117.0841955
Fort Wayne,Indiana,76,256496,41.079273,-85.1393513
Orlando,Florida,77,255483,28.5383355,-81.3792365
St. Petersburg,Florida,78,249688,27.773056,-82.64
Chandler,Arizona,79,249146,33.3061605,-111.8412502
Laredo,Texas,80,248142,27.5305671,-99.4803241
Norfolk,Virginia,81,246139,36.8507689,-76.2858726
Durham,North Carolina,82,245475,35.9940329,-78.898619
Madison,Wisconsin,83,243344,43.0730517,-89.4012302
Lubbock,Texas,84,239538,33.5778631,-101.8551665
Irvine,California,85,236716,33.6839473,-117.7946942
Winston-Salem,North Carolina,86,236441,36.0998596,-80.244216
Glendale,Arizona,87,234632,33.5386523,-112.1859866
Garland,Texas,88,234566,32.912624,-96.6388833
Hialeah,Florida,89,233394,25.8575963,-80.2781057
Reno,Nevada,90,233294,39.5296329,-119.8138027
Chesapeake,Virginia,91,230571,36.7682088,-76.2874927
Gilbert,Arizona,92,229972,33.3528264,-111.789027
Baton Rouge,Louisiana,93,229426,30.4582829,-91.1403196
Irving,Texas,94,228653,32.8140177,-96.9488945
Scottsdale,Arizona,95,226918,33.4941704,-111.9260519
North Las Vegas,Nevada,96,226877,36.1988592,-115.1175013
Fremont,California,97,224922,37.5482697,-121.9885719
Boise City,Idaho,98,214237,43.6187102,-116.2146068
Richmond,Virginia,99,214114,37.5407246,-77.4360481
San Bernardino,California,100,213708,34.1083449,-117.2897652
Birmingham,Alabama,101,212113,33.5206608,-86.80249
Spokane,Washington,102,210721,47.6587802,-117.4260466
Rochester,New York,103,210358,43.16103,-77.6109219
Des Moines,Iowa,104,207510,41.6005448,-93.6091064
Modesto,California,105,204933,37.6390972,-120.9968782
Fayetteville,North Carolina,106,204408,35.0526641,-78.8783585
Tacoma,Washington,107,203446,47.2528768,-122.4442906
Oxnard,California,108,203007,34.1975048,-119.1770516
Fontana,California,109,203003,34.0922335,-117.435048
Columbus,Georgia,110,202824,32.4609764,-84.9877094
Montgomery,Alabama,111,201332,32.3668052,-86.2999689
Moreno Valley,California,112,201175,33.9424658,-117.2296717
Shreveport,Louisiana,113,200327,32.5251516,-93.7501789
Aurora,Illinois,114,199963,41.7605849,-88.3200715
Yonkers,New York,115,199766,40.9312099,-73.8987469
Akron,Ohio,116,198100,41.0814447,-81.5190053
Huntington Beach,California,117,197575,33.660297,-117.9992265
Little Rock,Arkansas,118,197357,34.7464809,-92.2895948
Augusta-Richmond County,Georgia,119,197350,33.4734978,-82.0105148
Amarillo,Texas,120,196429,35.2219971,-101.8312969
Glendale,California,121,196021,34.1425078,-118.255075
Mobile,Alabama,122,194899,30.6953657,-88.0398912
Grand Rapids,Michigan,123,192294,42.9633599,-85.6680863
Salt Lake City,Utah,124,191180,40.7607793,-111.8910474
Tallahassee,Florida,125,186411,30.4382559,-84.2807329
Huntsville,Alabama,126,186254,34.7303688,-86.5861037
Grand Prairie,Texas,127,183372,32.7459645,-96.9977846
Knoxville,Tennessee,128,183270,35.9606384,-83.9207392
Worcester,Massachusetts,129,182544,42.2625932,-71.8022934
Newport News,Virginia,130,182020,37.0870821,-76.4730122
Brownsville,Texas,131,181860,25.9017472,-97.4974838
Overland Park,Kansas,132,181260,38.9822282,-94.6707917
Santa Clarita,California,133,179590,34.3916641,-118.542586
Providence,Rhode Island,134,177994,41.8239891,-71.4128343
Garden Grove,California,135,175140,33.7739053,-117.9414477
Chattanooga,Tennessee,136,173366,35.0456297,-85.3096801
Oceanside,California,137,172794,33.1958696,-117.3794834
Jackson,Mississippi,138,172638,32.2987573,-90.1848103
Fort Lauderdale,Florida,139,172389,26.1224386,-80.1373174
Santa Rosa,California,140,171990,38.440429,-122.7140548
Rancho Cucamonga,California,141,171386,34.1063989,-117.5931084
Port St. Lucie,Florida,142,171016,27.2730492,-80.3582261
Tempe,Arizona,143,168228,33.4255104,-111.9400054
Ontario,California,144,167500,34.0633443,-117.6508876
Vancouver,Washington,145,167405,45.6387281,-122.6614861
Cape Coral,Florida,146,165831,26.5628537,-81.9495331
Sioux Falls,South Dakota,147,164676,43.5445959,-96.7311034
Springfield,Missouri,148,164122,37.2089572,-93.2922989
Peoria,Arizona,149,162592,33.5805955,-112.2373779
Pembroke Pines,Florida,150,162329,26.007765,-80.2962555
Elk Grove,California,151,161007,38.4087993,-121.3716178
Salem,Oregon,152,160614,44.9428975,-123.0350963
Lancaster,California,153,159523,34.6867846,-118.1541632
Corona,California,154,159503,33.8752935,-117.5664384
Eugene,Oregon,155,159190,44.0520691,-123.0867536
Palmdale,California,156,157161,34.5794343,-118.1164613
Salinas,California,157,155662,36.6777372,-121.6555013
Springfield,Massachusetts,158,153703,42.1014831,-72.589811
Pasadena,Texas,159,152735,29.6910625,-95.2091006
Fort Collins,Colorado,160,152061,40.5852602,-105.084423
Hayward,California,161,151574,37.6688205,-122.0807964
Pomona,California,162,151348,34.055103,-117.7499909
Cary,North Carolina,163,151088,35.79154,-78.7811169
Rockford,Illinois,164,150251,42.2711311,-89.0939952
Alexandria,Virginia,165,148892,38.8048355,-77.0469214
Escondido,California,166,148738,33.1192068,-117.086421
McKinney,Texas,167,148559,33.1972465,-96.6397822
Kansas City,Kansas,168,148483,39.114053,-94.6274636
Joliet,Illinois,169,147806,41.525031,-88.0817251
Sunnyvale,California,170,147559,37.36883,-122.0363496
Torrance,California,171,147478,33.8358492,-118.3406288
Bridgeport,Connecticut,172,147216,41.1865478,-73.1951767
Lakewood,Colorado,173,147214,39.7047095,-105.0813734
Hollywood,Florida,174,146526,26.0112014,-80.1494901
Paterson,New Jersey,175,145948,40.9167654,-74.171811
Naperville,Illinois,176,144864,41.7508391,-88.1535352
Syracuse,New York,177,144669,43.0481221,-76.1474244
Mesquite,Texas,178,143484,32.7667955,-96.5991593
Dayton,Ohio,179,143355,39.7589478,-84.1916069
Savannah,Georgia,180,142772,32.0835407,-81.0998342
Clarksville,Tennessee,181,142357,36.5297706,-87.3594528
Orange,California,182,139969,33.7877944,-117.8531119
Pasadena,California,183,139731,34.1477849,-118.1445155
Fullerton,California,184,138981,33.8703596,-117.9242966
Killeen,Texas,185,137147,31.1171194,-97.7277959
Frisco,Texas,186,136791,33.1506744,-96.8236116
Hampton,Virginia,187,136699,37.0298687,-76.3452218
McAllen,Texas,188,136639,26.2034071,-98.2300124
Warren,Michigan,189,134873,42.5144566,-83.0146526
Bellevue,Washington,190,133992,47.610377,-122.2006786
West Valley City,Utah,191,133579,40.6916132,-112.0010501
Columbia,South Carolina,192,133358,34.0007104,-81.0348144
Olathe,Kansas,193,131885,38.8813958,-94.8191285
Sterling Heights,Michigan,194,131224,42.5803122,-83.0302033
New Haven,Connecticut,195,130660,41.308274,-72.9278835
Miramar,Florida,196,130288,25.9860762,-80.3035602
Waco,Texas,197,129030,31.549333,-97.1466695
Thousand Oaks,California,198,128731,34.1705609,-118.8375937
Cedar Rapids,Iowa,199,128429,41.9778795,-91.6656232
Charleston,South Carolina,200,127999,32.7764749,-79.9310512
Visalia,California,201,127763,36.3302284,-119.2920585
Topeka,Kansas,202,127679,39.0558235,-95.6890185
Elizabeth,New Jersey,203,127558,40.6639916,-74.2107006
Gainesville,Florida,204,127488,29.6516344,-82.3248262
Thornton,Colorado,205,127359,39.8680412,-104.9719243
Roseville,California,206,127035,38.7521235,-121.2880059
Carrollton,Texas,207,126700,32.9756415,-96.8899636
Coral Springs,Florida,208,126604,26.271192,-80.2706044
Stamford,Connecticut,209,126456,41.0534302,-73.5387341
Simi Valley,California,210,126181,34.2694474,-118.781482
Concord,California,211,125880,37.9779776,-122.0310733
Hartford,Connecticut,212,125017,41.7637111,-72.6850932
Kent,Washington,213,124435,47.3809335,-122.2348431
Lafayette,Louisiana,214,124276,30.2240897,-92.0198427
Midland,Texas,215,123933,31.9973456,-102.0779146
Surprise,Arizona,216,123546,33.6292337,-112.3679279
Denton,Texas,217,123099,33.2148412,-97.1330683
Victorville,California,218,121096,34.5362184,-117.2927641
Evansville,Indiana,219,120310,37.9715592,-87.5710898
Santa Clara,California,220,120245,37.3541079,-121.9552356
Abilene,Texas,221,120099,32.4487364,-99.7331439
Athens-Clarke County,Georgia,222,119980,33.9519347,-83.357567
Vallejo,California,223,118837,38.1040864,-122.2566367
Allentown,Pennsylvania,224,118577,40.6084305,-75.4901833
Norman,Oklahoma,225,118197,35.2225668,-97.4394777
Beaumont,Texas,226,117796,30.080174,-94.1265562
Independence,Missouri,227,117240,39.0911161,-94.4155068
Murfreesboro,Tennessee,228,117044,35.8456213,-86.39027
Ann Arbor,Michigan,229,117025,42.2808256,-83.7430378
Springfield,Illinois,230,117006,39.7817213,-89.6501481
Berkeley,California,231,116768,37.8715926,-122.272747
Peoria,Illinois,232,116513,40.6936488,-89.5889864
Provo,Utah,233,116288,40.2338438,-111.6585337
El Monte,California,234,115708,34.0686206,-118.0275667
Columbia,Missouri,235,115276,38.9517053,-92.3340724
Lansing,Michigan,236,113972,42.732535,-84.5555347
Fargo,North Dakota,237,113658,46.8771863,-96.7898034
Downey,California,238,113242,33.9401088,-118.1331593
Costa Mesa,California,239,112174,33.6411316,-117.9186689
Wilmington,North Carolina,240,112067,34.2257255,-77.9447102
Arvada,Colorado,241,111707,39.8027644,-105.0874842
Inglewood,California,242,111542,33.9616801,-118.3531311
Miami Gardens,Florida,243,111378,25.9420377,-80.2456045
Carlsbad,California,244,110972,33.1580933,-117.3505939
Westminster,Colorado,245,110945,39.8366528,-105.0372046
Rochester,Minnesota,246,110742,44.0121221,-92.4801989
Odessa,Texas,247,110720,31.8456816,-102.3676431
Manchester,New Hampshire,248,110378,42.9956397,-71.4547891
Elgin,Illinois,249,110145,42.0354084,-88.2825668
West Jordan,Utah,250,110077,40.6096698,-111.9391031
Round Rock,Texas,251,109821,30.5082551,-97.678896
Clearwater,Florida,252,109703,27.9658533,-82.8001026
Waterbury,Connecticut,253,109676,41.5581525,-73.0514965
Gresham,Oregon,254,109397,45.5001357,-122.4302013
Fairfield,California,255,109320,38.2493581,-122.0399663
Billings,Montana,256,109059,45.7832856,-108.5006904
Lowell,Massachusetts,257,108861,42.6334247,-71.3161718
San Buenaventura (Ventura),California,258,108817,34.274646,-119.2290316
Pueblo,Colorado,259,108249,38.2544472,-104.6091409
High Point,North Carolina,260,107741,35.9556923,-80.0053176
West Covina,California,261,107740,34.0686208,-117.9389526
